Question,Option1,Option2,Option3,Option4,Answer,Fact
विंडोज में किसी भी सॉफ्टवेयर या प्रोग्राम को इंस्टॉल करने वाली मुख्य फाइल का एक्सटेंशन क्या होता है?,.txt,.mp4,.exe (Executable),.apk,3,कंप्यूटर में सॉफ्टवेयर सेटअप फाइलों का एक्सटेंशन .exe (Executable File) होता है। (जबकि एंड्रॉइड मोबाइल में .apk होता है)।
बड़ी फाइलों के साइज़ को छोटा (Compress) करने के लिए किस फाइल एक्सटेंशन का इस्तेमाल होता है?,.zip / .rar,.pdf,.exe,.docx,1,ZIP या RAR फोल्डर बनाकर हम बड़ी फाइलों का साइज़ छोटा कर सकते हैं और कई फाइलों को एक ही फोल्डर में पैक कर सकते हैं।
ईमेल (Email) भेजने के लिए किस प्रोटोकॉल का इस्तेमाल होता है?,HTTP,FTP,SMTP (Simple Mail Transfer Protocol),POP3,3,"SMTP (Simple Mail Transfer Protocol) इंटरनेट पर ईमेल भेजने (Send करने) का काम करता है, जबकि POP3 ईमेल रिसीव करने का काम करता है।"
इंटरनेट से फाइल डाउनलोड या अपलोड करने के लिए कौन-सा प्रोटोकॉल उपयोग होता है?,HTTP,SMTP,FTP (File Transfer Protocol),TCP,3,FTP (File Transfer Protocol) का मुख्य काम क्लाइंट (आपके कंप्यूटर) और सर्वर के बीच फाइलों का सुरक्षित आदान-प्रदान करना है।
दो अलग-अलग प्रकार के नेटवर्क को आपस में जोड़ने के लिए किस डिवाइस का उपयोग होता है?,हब (Hub),स्विच (Switch),राउटर (Router),मॉडेम,3,राउटर (Router) एक नेटवर्किंग डिवाइस है जो डेटा पैकेट्स को एक नेटवर्क से दूसरे नेटवर्क (जैसे आपके घर से इंटरनेट) तक सही रास्ता दिखाता है।
गूगल ड्राइव (Google Drive) किस प्रकार की स्टोरेज का एक बेहतरीन उदाहरण है?,हार्ड डिस्क,क्लाउड स्टोरेज (Cloud Storage),पेन ड्राइव,ऑप्टिकल डिस्क,2,"क्लाउड स्टोरेज (Cloud Storage) का मतलब है अपना डेटा इंटरनेट (सर्वर) पर सुरक्षित रखना, जिसे आप किसी भी डिवाइस से कभी भी एक्सेस कर सकते हैं।"
"वह सॉफ्टवेयर जो कंप्यूटर या यूज़र के डेटा को नुकसान पहुँचाने के लिए बनाया जाता है, क्या कहलाता है?",सिस्टम सॉफ्टवेयर,यूटिलिटी सॉफ्टवेयर,मालवेयर (Malware),फ्रीवेयर,3,"मालवेयर (Malicious Software) एक अंब्रेला टर्म है, जिसके अंदर वायरस, ट्रोजन, वर्म और रैनसमवेयर जैसे सभी हानिकारक प्रोग्राम आते हैं।"
"धोखे से किसी का पासवर्ड, क्रेडिट कार्ड नंबर या बैंक डिटेल चुराने की प्रक्रिया को क्या कहते हैं?",फ़िशिंग (Phishing),स्पैमिंग (Spamming),हैकिंग (Hacking),बूटिंग,1,"फ़िशिंग (Phishing) साइबर क्राइम का एक तरीका है, जिसमें अपराधी किसी बैंक या कंपनी के नाम से नकली ईमेल या लिंक भेजकर यूज़र की निजी जानकारी चुरा लेते हैं।"
VGA का पूरा नाम क्या है?,Video Graphic Array,Visual Graphic Array,Visual Graphic Adapter,Video Graphic Adapter,1,"VGA (Video Graphic Array) एक प्रकार का डिस्प्ले केबल (नीले रंग का पोर्ट) होता है, जो कंप्यूटर से मॉनिटर तक वीडियो सिग्नल भेजता है।"
HDMI का पूरा नाम क्या है?,High-Definition Multimedia Interface,High-Definition Memory Interface,High-Data Multimedia Interface,High-Definition Media Internet,1,"HDMI आज के समय का सबसे आधुनिक केबल है, जो कंप्यूटर से मॉनिटर या टीवी तक हाई-क्वालिटी वीडियो और ऑडियो दोनों एक साथ भेजता है।"
कंप्यूटर की भाषा में 'बग' (Bug) का क्या अर्थ है?,कंप्यूटर का कीड़ा,सॉफ्टवेयर या प्रोग्राम में त्रुटि (Error),कंप्यूटर का हार्डवेयर,एक प्रकार का वायरस,2,प्रोग्रामिंग की भाषा में किसी सॉफ्टवेयर के अंदर मौजूद गलती या कोडिंग की त्रुटि (Error) को 'बग' (Bug) कहा जाता है और इसे ठीक करना 'डीबगिंग' कहलाता है।
पीडीएफ (PDF) फाइल को पढ़ने (Read) के लिए सबसे प्रसिद्ध और आम सॉफ्टवेयर कौन-सा है?,MS Word,Adobe Reader,Notepad,VLC Player,2,एडोब रीडर (Adobe Acrobat Reader) दुनिया का सबसे लोकप्रिय एप्लीकेशन है जिसका उपयोग PDF फाइलों को देखने और प्रिंट करने के लिए होता है।
विंडोज डेस्कटॉप पर टाइम और डेट (Time and Date) टास्कबार में कहाँ दिखाई देता है?,स्टार्ट मेनू में,सिस्टम ट्रे (System Tray) में,क्विक लॉन्च बार में,टाइटल बार में,2,"टास्कबार के एकदम दाहिने (Right) कोने को 'सिस्टम ट्रे' या 'नोटिफिकेशन एरिया' कहा जाता है, जहाँ समय, तारीख और वॉल्यूम का आइकॉन दिखता है।"
विंडोज में कोई नया फोल्डर बनाने पर उसका डिफ़ॉल्ट नाम (Default name) क्या होता है?,Document 1,New folder,Untitled 1,Blank Folder,2,"जब आप डेस्कटॉप या ड्राइव में कोई नया फोल्डर बनाते हैं, तो कंप्यूटर खुद-ब-खुद उसे 'New folder' नाम दे देता है जिसे आप बाद में Rename कर सकते हैं।"
कंप्यूटर के कीबोर्ड में सबसे लंबी की (Key) कौन-सी होती है?,Enter Key,Shift Key,Spacebar (स्पेसबार),Backspace Key,3,स्पेसबार (Spacebar) कीबोर्ड की सबसे लंबी कुंजि होती है। इसका काम दो शब्दों या अक्षरों के बीच खाली जगह (Space) छोड़ना होता है।
"जब एक कंप्यूटर पर एक ही समय में कई काम (जैसे गाना सुनना और टाइपिंग करना) एक साथ किए जाते हैं, तो उसे क्या कहते हैं?",मल्टीयूज़र,मल्टीप्रोसेसिंग,मल्टीटास्किंग (Multitasking),मल्टीप्रोग्रामिंग,3,मल्टीटास्किंग (Multitasking) ऑपरेटिंग सिस्टम की वह खूबी है जिससे यूज़र एक ही समय में एक से ज़्यादा एप्लीकेशन (प्रोग्राम) चला सकता है।
,,Fundamental of Computer Lv. 2,9191,9696,1:00:00,1
कंप्यूटर की कैश मेमोरी (Cache Memory) में CPU के सबसे नजदीक और सबसे तेज़ मेमोरी कौन-सी होती है?,L3 Cache,L2 Cache,L1 Cache,RAM,3,"L1 (Level 1) कैश मेमोरी सीधे CPU कोर के अंदर होती है, इसलिए यह सभी मेमोरीज में सबसे तेज़ और आकार में सबसे छोटी होती है।"
वॉन न्यूमैन (Von Neumann) आर्किटेक्चर की मुख्य विशेषता क्या है?,डेटा और प्रोग्राम दोनों के लिए एक ही साझा मेमोरी होती है,डेटा और निर्देश के लिए अलग-अलग बस होती है,यह केवल सुपर कंप्यूटर में लगता है,इसमें CPU नहीं होता,1,वॉन न्यूमैन आर्किटेक्चर में डेटा और इंस्ट्रक्शन (प्रोग्राम) दोनों को स्टोर करने के लिए एक ही मुख्य मेमोरी का उपयोग किया जाता है।
CISC और RISC मुख्य रूप से किसके प्रकार हैं?,ऑपरेटिंग सिस्टम,प्रोसेसर (CPU Architectures),मेमोरी चिप्स,मदरबोर्ड पोर्ट्स,2,CISC (Complex Instruction Set Computer) और RISC (Reduced Instruction Set Computer) माइक्रोप्रोसेसर डिजाइन करने की दो मुख्य तकनीकें हैं।
CPU के अंदर विभिन्न घटकों के बीच डेटा ट्रांसफर करने के लिए मुख्य रूप से कितने प्रकार के बस (Buses) होते हैं?,1,2,3,4,3,"CPU में तीन मुख्य बस होती हैं: डेटा बस (Data Bus), एड्रेस बस (Address Bus) और कंट्रोल बस (Control Bus)।"
"ऐसी मेमोरी जो कंप्यूटर बंद होने पर डेटा सुरक्षित रखती है लेकिन रैम की तरह बाइट-एड्रेसेबल और बहुत तेज़ होती है, उसे क्या कहते हैं?",Hard Disk,ROM,Non-Volatile RAM (NVRAM),Cache,3,NVRAM (Non-Volatile RAM) बैटरी या फ्लैश तकनीक का उपयोग करके बिजली जाने पर भी डेटा सुरक्षित रखती है।
ECC (Error-Correcting Code) रैम का मुख्य उपयोग कहाँ किया जाता है?,सामान्य लैपटॉप में,गेमिंग पीसी में,सर्वेस और डेटा सेंटर (Servers) में,मोबाइल फोन में,3,"ECC रैम मेमोरी करप्शन (डेटा की गलती) को खुद डिटेक्ट करके ठीक कर सकती है, इसलिए इसका उपयोग क्रिटिकल सर्वर्स में होता है।"
हार्ड डिस्क या SSD में डेटा पढ़ने और लिखने की गति को बढ़ाने के लिए किस तकनीक का उपयोग किया जाता है जो कई डिस्क को एक साथ जोड़ती है?,BIOS,RAID (Redundant Array of Independent Disks),SMPS,CMOS,2,RAID तकनीक का उपयोग डेटा की सुरक्षा (Backup) बढ़ाने या परफॉर्मेंस तेज करने के लिए कई हार्ड डिस्क को एक साथ मैनेज करने के लिए होता है।
"ऑपरेटिंग सिस्टम का वह भाग जो सीधे हार्डवेयर से बातचीत करता है और कंप्यूटर के संसाधनों को मैनेज करता है, क्या कहलाता है?",Shell,Kernel,Compiler,Application,2,"कर्नल (Kernel) किसी भी ऑपरेटिंग सिस्टम का मुख्य और केंद्रीय हिस्सा होता है, जो सॉफ्टवेयर और हार्डवेयर के बीच पुल का काम करता है।"
"जब रैम (RAM) फुल हो जाती है और ऑपरेटिंग सिस्टम सेकेंडरी स्टोरेज (हार्ड डिस्क) के कुछ हिस्से को अस्थायी रैम की तरह इस्तेमाल करने लगता है, तो इस प्रक्रिया को क्या कहते हैं?",Thrashing,Virtual Memory / Paging,Caching,Booting,2,वर्चुअल मेमोरी (Virtual Memory) तकनीक के तहत हार्ड डिस्क के स्पेस को रैम की तरह उपयोग किया जाता है। जब पेज बार-बार स्वैप होने लगें तो उसे थ्रैशिंग कहते हैं।
विंडोज ऑपरेटिंग सिस्टम में सिस्टम की सभी मुख्य सेटिंग्स और सॉफ्टवेयर की जानकारी किस डेटाबेस में स्टोर होती है?,Notepad,Windows Registry (.reg),Control Panel,System 32,2,विंडोज रजिस्ट्री (Windows Registry) एक पदानुक्रमित (Hierarchical) डेटाबेस है जो ऑपरेटिंग सिस्टम और ऐप्स की सेटिंग्स को सुरक्षित रखता है।
"हार्ड ड्राइव का वह पहला सेक्टर जिसमें पार्टीशन की जानकारी और बूट लोड करने वाला कोड होता है, क्या कहलाता है?",BIOS,MBR (Master Boot Record),CMOS,FAT32,2,MBR (Master Boot Record) हार्ड डिस्क का पहला सेक्टर होता है जो कंप्यूटर को यह बताता है कि ऑपरेटिंग सिस्टम को कहाँ से लोड करना है।
पुराने MBR पार्टीशन स्टाइल की तुलना में आधुनिक GPT (GUID Partition Table) का मुख्य लाभ क्या है?,यह केवल 2TB तक की डिस्क सपोर्ट करता है,यह 2TB से बड़ी हार्ड ड्राइव और असीमित पार्टीशंस को सपोर्ट करता है,यह बहुत धीमा होता है,यह केवल मैक में चलता है,2,GPT आधुनिक और एडवांस पार्टीशन सिस्टम है जो 2TB से बड़ी हार्ड डिस्क और सुरक्षित बूटिंग (Secure Boot) को सपोर्ट करता है।
नेटवर्किंग में OSI मॉडल (Open Systems Interconnection) में कुल कितनी परतें (Layers) होती हैं?,5,6,7,8,3,"OSI मॉडल में कुल 7 लेयर्स होती हैं (Physical से लेकर Application लेयर तक), जो डेटा कम्युनिकेशन के नियमों को तय करती हैं।"
TCP/IP मॉडल में इंटरनेट लेयर (Internet Layer) पर मुख्य रूप से किस प्रोटोकॉल का उपयोग होता है?,HTTP,TCP,IP (Internet Protocol),FTP,3,इंटरनेट लेयर पर IP (IPv4 / IPv6) प्रोटोकॉल का उपयोग डेटा पैकेट्स को सही डेस्टिनेशन तक रूट (Route) करने के लिए होता है।
TCP (Transmission Control Protocol) और UDP (User Datagram Protocol) में मुख्य अंतर क्या है?,"TCP कनेक्शन-ओरिएंटेड (सुरक्षित) है, जबकि UDP कनेक्शनलेस (फास्ट) है",UDP बहुत सुरक्षित है,TCP वीडियो कॉलिंग के लिए है,इनमें कोई अंतर नहीं है,1,"TCP डेटा के पहुँचने की गारंटी देता है (गारंटीड डिलीवरी), जबकि UDP बिना डिलीवरी की गारंटी के बहुत तेजी से डेटा भेजता है (जैसे लाइव स्ट्रीमिंग)।"
DNS (Domain Name System) सर्वर का मुख्य कार्य क्या है?,वेबसाइट के नाम को उसके IP एड्रेस में बदलना,इंटरनेट की स्पीड बढ़ाना,कंप्यूटर को वायरस से बचाना,ईमेल भेजना,1,DNS एक 'फोनबुक' की तरह है जो 'google.com' जैसे नाम को कंप्यूटर द्वारा समझने योग्य संख्यात्मक IP एड्रेस (जैसे 142.250.190.46) में बदलता है।
नेटवर्क एड्रेस ट्रांसलेशन (NAT) का मुख्य उपयोग क्या है?,प्राइवेट IP एड्रेस को पब्लिक IP एड्रेस में बदलना,हार्ड डिस्क को सुरक्षित रखना,सीपीयू की स्पीड बढ़ाना,ईमेल एन्क्रिप्ट करना,1,NAT राउटर पर काम करता है जो घर के कई प्राइवेट आईपी को इंटरनेट पर जाने के लिए एक सिंगल पब्लिक आईपी में बदलता है।
HTTPS कनेक्शन में किस एंक्रिप्टेड प्रोटोकॉल लेयर का उपयोग डेटा सुरक्षा के लिए किया जाता है?,SSL / TLS,FTP,SMTP,DHCP,1,HTTPS में SSL (Secure Sockets Layer) या TLS (Transport Layer Security) तकनीक से डेटा को पूरी तरह एन्क्रिप्ट किया जाता है ताकि कोई बीच में न पढ़ सके।
फायरवॉल (Firewall) का मुख्य सुरक्षा कार्य क्या है?,कंप्यूटर की सफाई करना,अनधिकृत नेटवर्क ट्रैफिक (Unauthorized Traffic) को रोकना और फिल्टर करना,हार्ड डिस्क का बैकअप लेना,इंटरनेट की स्पीड बढ़ाना,2,फायरवॉल नेटवर्क या कंप्यूटर का सुरक्षा गार्ड है जो नियम बनाकर तय करता है कि कौन सा ट्रैफिक अंदर आ सकता है और कौन सा बाहर जा सकता है।
साइबर सुरक्षा में 'फिशिंग' (Phishing) हमले का मुख्य तरीका क्या है?,कंप्यूटर पर हथौड़ा मारना,नकली ईमेल या वेबसाइट बनाकर यूज़र को झांसे में लेकर पासवर्ड चुराना,बिजली का झटका देना,रैम उड़ाना,2,फिशिंग एक सोशल इंजीनियरिंग अटैक है जिसमें हमलावर बैंक या जानी-मानी कंपनी का रूप धरकर संवेदनशील जानकारी चुराते हैं।
रैनसमवेयर (Ransomware) मैलवेयर का मुख्य उद्देश्य क्या होता है?,कंप्यूटर का डिस्प्ले खराब करना,यूज़र की फाइलों को एन्क्रिप्ट (लॉक) करके फिरौती (Ransom) मांगना,इंटरनेट बंद करना,कीबोर्ड खराब करना,2,रैनसमवेयर कंप्यूटर की फाइलों को ताला लगा देता है और पैसे (रैनसम) मिलने के बाद ही उन्हें अनलॉक करने की चाबी देता है।
CPU में 'पोलिंग' (Polling) और 'इंटरप्ट' (Interrupt) में से कौन-सी तकनीक अधिक कुशल (Efficient) मानी जाती है?,पोलिंग,इंटरप्ट-ड्रिवन (Interrupt-driven) I/O,दोनों समान हैं,इनमें से कोई नहीं,2,"इंटरप्ट-ड्रिवन तकनीक में I/O डिवाइस खुद CPU को सिग्नल भेजती है जब उसे काम होता है, जिससे CPU को हर बार चेक नहीं करना पड़ता (CPU का समय बचता है)।"
SSD में उपयोग होने वाली NAND फ्लैश मेमोरी में डेटा स्टोर करने के लिए किस इलेक्ट्रॉनिक कंपोनेंट का उपयोग होता है?,कैपेसिटर,फ्लोटिंग गेट ट्रांजिस्टर (Floating Gate Transistor),मैग्नेटिक डिस्क,रजिस्टर,2,"SSD में डेटा स्टोर करने के लिए ट्रांजिस्टर के अंदर चार्ज ट्रैप या फ्लोटिंग गेट का उपयोग किया जाता है, जिसमें कोई मूविंग पार्ट नहीं होता।"
एसएसडी (SSD) की लाइफ बढ़ाने और उसकी परफॉर्मेंस में सुधार के लिए कौन-सी तकनीक का इस्तेमाल होता है?,डिफ्रैगमेंटेशन,ट्रिम (TRIM) कमांड,फॉर्मेटिंग,ओवरक्लॉकिंग,2,"TRIM कमांड ऑपरेटिंग सिस्टम को बताती है कि कौन से ब्लॉक अब काम के नहीं हैं, जिससे SSD उन्हें पहले से खाली करके अपनी स्पीड और आयु बनाए रखती है।"
ग्राफिक्स कार्ड (GPU) में मुख्य रूप से किस प्रकार की प्रोसेसिंग आर्किटेक्चर का उपयोग होता है?,सीरियल प्रोसेसिंग,"SIMD (Single Instruction, Multiple Data)",सिंगल कोर,रैखिक प्रोसेसिंग,2,"GPU में हजारों छोटे कोर होते हैं जो एक साथ एक जैसे कई निर्देशों पर काम करते हैं (SIMD), जिससे 3D गेमिंग और वीडियो रेंडरिंग तेज होती है।"
साउंड कार्ड में लगे ADC (Analog-to-Digital Converter) का मुख्य काम क्या है?,डिजिटल आवाज़ को स्पीकर तक भेजना,माइक्रोफोन से आने वाली एनालॉग आवाज़ को डिजिटल डेटा में बदलना,आवाज़ बंद करना,बेस बढ़ाना,2,ADC एनालॉग साउंड वेव्स (माइक्रोफोन इनपुट) को कंप्यूटर द्वारा प्रोसेस करने योग्य बाइनरी (डिजिटल) सिग्नल में बदलता है।
मदरबोर्ड पर लगी CMOS बैटरी डिस्चार्ज होने पर कंप्यूटर में सबसे पहली आम समस्या क्या आती है?,कीबोर्ड काम करना बंद कर देता है,हर बार कंप्यूटर चालू करने पर BIOS की तारीख और समय (Date & Time) रीसेट हो जाती है,इंटरनेट नहीं चलता,स्क्रीन नीली हो जाती है,2,CMOS बैटरी का मुख्य काम कंप्यूटर बंद होने पर RTC (Real-Time Clock) और BIOS सेटिंग्स को पावर देना होता है।
सुपर कंप्यूटर में एक साथ हजारों प्रोसेसर को जोड़कर पैरेलल प्रोसेसिंग करने के लिए किस स्टैंडर्ड प्रोटोकॉल का सबसे ज्यादा इस्तेमाल होता है?,MPI (Message Passing Interface),HTTP,FTP,TCP/IP,1,MPI (Message Passing Interface) सुपर कंप्यूटर के अलग-अलग नोड्स और प्रोसेसर्स के बीच आपस में कम्युनिकेट करने का मानक तरीका है।
मेनफ्रेम कंप्यूटर में हार्डवेयर संसाधनों को वर्चुअलाइज करके अलग-अलग स्वतंत्र वर्चुअल सर्वर बनाने की तकनीक को क्या कहते हैं?,LPAR (Logical Partitioning),Multitasking,Hyper-threading,Caching,1,LPAR (Logical Partitioning) के जरिए एक ही बड़े मेनफ्रेम कंप्यूटर के हार्डवेयर को बांटकर कई अलग-अलग ऑपरेटिंग सिस्टम स्वतंत्र रूप से चलाए जाते हैं।
पुराने BIOS की तुलना में आधुनिक UEFI (Unified Extensible Firmware Interface) का क्या मुख्य तकनीकी लाभ है?,"यह ग्राफिकल यूजर इंटरफेस, माउस सपोर्ट और 2TB से बड़ी ड्राइव को सपोर्ट करता है",यह बहुत धीमा है,यह केवल डॉस चलाता है,इसमें कोई अंतर नहीं है,1,UEFI आधुनिक फर्मवेयर है जो पुराने 16-बिट BIOS की जगह लेता है और 64-बिट मोड पर तेजी से बूट होता है।
मदरबोर्ड पर पावर-ऑन सेल्फ टेस्ट (POST) के दौरान आने वाली गड़बड़ी को किस रूप में दर्शाया जाता है?,माउस की लाइट से,बीप कोड्स (Beep Codes) या एरर मैसेज से,डेस्कटॉप वॉलपेपर से,साउंड से,2,"यदि हार्डवेयर में कोई खराबी (जैसे रैम ठीक न लगी हो) होती है, तो मदरबोर्ड स्पीकर से खास तरह की बीप आवाज़ (Beep Codes) आती है।"
EEPROM की एक बड़ी तकनीकी सीमा क्या होती है?,इसे कभी मिटाया नहीं जा सकता,"इसके ब्लॉक्स की एक निश्चित 'राइट साइकिल' (Write Endurance Limit) होती है, जिसके बाद वह खराब होने लगती है",यह केवल एक बार लिखी जाती है,इसमें बिजली बहुत खर्च होती है,2,"फ्लैश और EEPROM मेमोरी में बार-बार लिखने से उसके सेल्स घिस जाते हैं, इसलिए इनकी सीमित राइट लाइफ होती है।"
USB 3.0 और उसके बाद के वर्जनों में डेटा ट्रांसफर स्पीड बढ़ाने के लिए किस सिग्नलिंग तकनीक का उपयोग किया जाता है?,सिम्पलेक्स सिग्नलिंग,डिफरेंशियल सिग्नलिंग (Differential Signaling),एनालॉग सिग्नलिंग,रेडियो सिग्नलिंग,2,डिफरेंशियल सिग्नलिंग तकनीक दो तारों पर उल्टे सिग्नल भेजकर शोर (Noise) को खत्म करती है और बहुत हाई स्पीड डेटा ट्रांसफर संभव बनाती है।
ब्लूटूथ (Bluetooth) तकनीक किस तकनीक पर काम करती है जो सिग्नल को अलग-अलग रेडियो फ्रिक्वेंसी पर बदलती रहती है?,FHSS (Frequency Hopping Spread Spectrum),Direct Sequence,Infrared Beam,Optical Laser,1,"FHSS तकनीक के कारण ब्लूटूथ डिवाइस एक ही सेकंड में कई बार अपनी फ्रिक्वेंसी बदलती है, जिससे इंटरफेरेंस और डेटा चोरी का खतरा कम होता है।"
फाइबर ऑप्टिक केबल में डेटा किस सिद्धांत पर प्रकाश की गति से यात्रा करता है?,अपवर्तन (Refraction),पूर्ण आंतरिक परावर्तन (Total Internal Reflection - TIR),प्रकीर्णन,परावर्तन,2,फाइबर ऑप्टिक केबल के अंदर प्रकाश किरणें कोर की दीवारों से पूर्ण आंतरिक परावर्तन (TIR) करते हुए बिना नुकसान के लंबी दूरी तय करती हैं।
SCSI और SATA इंटरफेस में मुख्य अंतर क्या है?,"SCSI हाई-परफॉर्मेंस सर्वर्स के लिए पैरेलल/सीरियल इंटरफेस है, जबकि SATA होम पीसी स्टोरेज के लिए है",SATA बहुत धीमा है,SCSI केवल प्रिंटर के लिए है,इनमें कोई अंतर नहीं है,1,SCSI (Small Computer System Interface) बहुत हाई-स्पीड और मल्टी-ड्राइव हैंडलिंग क्षमता वाला सर्वर इंटरफेस है।
नेटवर्किंग हब (Hub) और स्विच (Switch) में तकनीकी रूप से सबसे बड़ा अंतर क्या है?,"हब डेटा को ब्रॉडकास्ट (सबको भेजता है) करता है, जबकि स्विच डेटा को केवल डेस्टिनेशन पोर्ट (Unicast) पर भेजता है",स्विच धीमा होता है,हब स्मार्ट होता है,कोई अंतर नहीं है,1,"स्विच मैक एड्रेस टेबल रखता है और ट्रैफिक को इंटेलिजेंट तरीके से फिल्टर करता है, जिससे नेटवर्क कंजेशन कम होता है।"
नेटवर्किंग में 'मैक एड्रेस' (MAC Address) कितने बिट्स (Bits) का होता है?,32 बिट,48 बिट (6 Bytes),64 बिट,128 बिट,2,"मैक एड्रेस 48-बिट (या 6 बाइट्स) का एक फिजिकल एड्रेस होता है, जो हेक्साडेसिमल फॉर्मेट में लिखा जाता है (जैसे 00:1A:2B:3C:4D:5E)।"
IPv4 एड्रेस कितने बिट्स का होता है?,16 बिट,32 बिट (4 Bytes),64 बिट,128 बिट,2,"IPv4 एड्रेस 32-बिट का होता है, जिसे चार दशमलव संख्याओं में बांटा जाता है (जैसे 192.168.1.1)।"
IPv6 एड्रेस कितने बिट्स का होता है?,32 बिट,64 बिट,128 बिट (16 Bytes),256 बिट,3,"IPv4 एड्रेस खत्म होने के कारण आधुनिक इंटरनेट में 128-बिट के IPv6 एड्रेस का उपयोग होता है, जो अरबों-खरबों यूनिक IP प्रदान करता है।"
क्रिप्टोग्राफी में 'सिमीट्रिक एन्क्रिप्शन' (Symmetric Encryption) की मुख्य विशेषता क्या होती है?,इसमें डेटा को लॉक और अनलॉक करने के लिए एक ही (Same) सीक्रेट की का उपयोग होता है,इसमें दो अलग चाबियां होती हैं,यह एन्क्रिप्शन नहीं करता,यह बहुत धीमा है,1,सिमीट्रिक एन्क्रिप्शन (जैसे AES) में भेजने और प्राप्त करने वाले दोनों के पास एक ही गुप्त चाबी होती है।
असिमीट्रिक एन्क्रिप्शन (Asymmetric Encryption) में किन दो चाबियों का उपयोग होता है?,पब्लिक की और प्राइवेट की (Public and Private Key),लोकल की और ग्लोबल की,मास्टर और स्लेव की,इनमें से कोई नहीं,1,"असिमीट्रिक (जैसे RSA) में डेटा एनक्रिप्ट करने के लिए 'पब्लिक की' और डीक्रिप्ट करने के लिए 'प्राइवेट की' का इस्तेमाल होता है, जो सुरक्षा बढ़ाता है।"
डिजिटल सिग्नेचर (Digital Signature) तकनीक का मुख्य उद्देश्य क्या होता है?,दस्तावेज़ पर पेन से साइन करना,डेटा की प्रामाणिकता (Authenticity) और अखंडता (Integrity) की गारंटी देना,फाइल का साइज़ बढ़ाना,वायरस भेजना,2,डिजिटल सिग्नेचर यह सुनिश्चित करता है कि भेजने वाला वही है जो दावा कर रहा है और रास्ते में डेटा के साथ कोई छेड़छाड़ नहीं हुई है।
बफर ओवरफ्लो (Buffer Overflow) वल्नरेबिलिटी का मुख्य कारण क्या है?,रैम का खराब होना,प्रोग्रामिंग में इनपुट डेटा का साइज चेक न करना जिससे वह मेमोरी सीमा पार कर जाता है,हार्ड डिस्क फुल होना,सीपीयू का गर्म होना,2,बफर ओवरफ्लो एक गंभीर सुरक्षा खामी है जिसका उपयोग हैकर कंप्यूटर पर मैलवेयर रन करने के लिए करते हैं।
जीरो-डे एक्सपलाॅइट (Zero-Day Exploit) किसे कहा जाता है?,ऐसी सुरक्षा कमी जिसका पता चलने पर सॉफ्टवेयर डेवलपर को जीरो दिन में पैच बनाना पड़ता है,ऐसी सॉफ्टवेयर खामी जिसकी जानकारी डेवलपर को नहीं होती और हैकर उसका फायदा उठा लेते हैं,ऐसा वायरस जो रात के बारह बजे चलता है,एक पुराना वायरस,2,जीरो-डे उस सुरक्षा खामी (Vulnerability) को कहते हैं जिसके बारे में कंपनी को कोई जानकारी नहीं होती और हैकर उससे पहले ही हमला कर देते हैं।
रूटकिट (Rootkit) किस प्रकार का खतरनाक मैलवेयर है?,जो स्क्रीन लॉक कर देता है,जो ऑपरेटिंग सिस्टम की गहराई में छिपकर अपनी उपस्थिति छुपाता है और फुल एडमिन कंट्रोल ले लेता है,जो केवल ईमेल डिलीट करता है,एंटीवायरस,2,रूटकिट सिस्टम फाइलों और एंटीवायरस की नजरों से बचकर चुपचाप बैकग्राउंड में पूरा कंट्रोल अपने हाथ में ले लेता है।
कंप्यूटर बूटिंग के समय सबसे पहले कौन-सा सॉफ्टवेयर एक्टिव होता है?,MS Word,BIOS / UEFI Firmware,Windows Explorer,Antivirus,2,कंप्यूटर चालू होते ही मदरबोर्ड की चिप पर मौजूद BIOS या UEFI सबसे पहले एक्टिव होता है और पोस्ट (POST) प्रक्रिया शुरू करता है।
डायनेमिक लिंक लाइब्रेरी (.DLL फाइल्स) का विंडोज में क्या मुख्य उपयोग है?,केवल गाने बजाना,विभिन्न सॉफ्टवेयर द्वारा साझा किए जाने वाले कोड और फंक्शन्स को स्टोर करना,इंटरनेट चलाना,फाइल डिलीट करना,2,"DLL फाइल्स में ऐसे कोड होते हैं जिन्हें कई अलग-अलग प्रोग्राम एक साथ इस्तेमाल कर सकते हैं, जिससे डिस्क स्पेस बचता है।"
हार्ड डिस्क का 'फ्रेगमेंटेशन' (Fragmentation) कंप्यूटर की स्पीड को क्यों धीमा कर देता है?,क्योंकि फाइलें अलग-अलग टुकड़ों में बिखर जाती हैं और रीड/राइट हेड को उन्हें ढूंढने में समय लगता है,क्योंकि हार्ड डिस्क गरम हो जाती है,क्योंकि रैम फुल हो जाती है,इनमें से कोई नहीं,1,फ्रेगमेंटेशन से फाइल के हिस्से डिस्क पर दूर-दूर फैल जाते हैं। डिफ्रैगमेंटेशन करने से वे पास आ जाते हैं और स्पीड बढ़ जाती है।
